TMA_PA_Manggarai (cm),C.H. Bogor (mm),C.H. Depok (mm),C.H. Manggarai (mm)
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0.1,0
595,0.2,1,0.2
595,0.2,0.1,0.2
595,0.1,0,0.1
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0.1,0.1,0.1
595,0.2,0.1,0.1
585,0,0.1,0.1
580,0.1,0,0
580,0.1,0.1,0.1
580,0.6,0.1,0.4
580,0.1,0.5,0.1
580,0,0.2,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0.1,0,0
580,0,0.1,0
580,0.1,0.1,0
580,0,0.1,0
580,0,0.1,0
580,0,0.1,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
585,0,0,0
585,0,0,0
585,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
570,0,0,0
570,0,0.1,0
570,0,0,0
570,0,0,0
570,0,0,0
570,0,0,0
570,0,0,0
570,0.3,0,0
570,0.4,0,0
570,0.3,0,0
570,0.1,0,0
570,0,0,0.1
570,0,0,0
570,0,0,0
570,0,0,0
570,0,0,0
570,0,0,0
570,0,0,0
570,0,0,0
570,0,0,0
570,0.1,0,0.1
570,0.1,0.1,0.1
570,0.1,0,0.1
570,0.1,0,0.1
570,0.2,0.1,0
570,0.1,0.1,0
570,0.3,0.1,0
570,0.1,0,0
570,0.1,0,0.1
570,0,0,0.1
610,0,0.5,0.1
610,0.1,0.6,0.1
585,0,0.9,0.2
580,0,0.3,0.4
570,0,0,0.2
570,0,0,0
570,0,0,0.3
570,0,0,0.3
570,0,0,0.4
570,0,0,0.9
570,0,0,0
570,0,0,0
580,0,0,0
600,0,0,0
610,0.1,0,0.1
610,0.2,0.2,0.3
600,0.7,0.6,0.2
600,3.4,4.2,0.2
600,2.2,1.3,2.5
590,3,1.4,3
590,2.5,2.5,2.8
585,4.5,1.6,0.5
580,0.6,1.1,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
575,0,0,0
575,0,0,0
575,0,0,0
575,0,0,0
575,0,0,0
575,0,0,0
575,0,0,0
570,0.4,0,0.1
570,5.1,0.1,1.1
570,0.3,2.5,0.9
570,0,0,0
570,2.1,0.9,0.5
570,0.9,2.7,0
570,0,1.2,0
570,0,0.1,0
570,0,0,0
575,0,0,0
575,0,0,0
575,0,0,0
570,0,0,0
570,0,0,0
570,0,0,0
570,0,0,0
580,0,0,0
610,0,0,0
610,0,0,0
625,0,0,0
620,0,0,0
610,0,0,0
605,0,0.1,0
595,0,0,0
590,0,0,0
585,0,0,0
580,0.1,0,0
580,0.2,0.2,0.2
575,0.7,0.4,0.2
575,0.1,0.9,0.1
575,0.1,1,0.1
575,0.2,0.2,0.7
575,1,0.1,1.4
570,0.6,0.5,0.5
575,0.1,0.5,0.1
575,0,0.1,0.5
570,0,0,0.2
570,0,0,0
570,0,0,0
570,0,0,0.2
570,0,0,0
565,0,0,0
565,0,0,0
565,0,0,0
565,0,0,0
570,0,0,0
570,0,0,0.2
570,0.1,0,0.1
575,0.1,0,0.1
575,0,0.1,0.1
575,1,0.1,1.3
570,0.2,0.2,0.3
570,1.2,0.3,0.3
570,0.2,0.5,0.1
570,0.5,0.1,0.4
570,0,0.1,0.1
570,0,0,0
570,0,0,0
570,0,0,0
570,0,0,0
570,0,0,0
570,0,0,0
570,0,0,0
570,0,0,0
570,0,0,0.1
570,0,0,0
565,0,0,0
565,0,0,0
565,0,0,0.1
570,0,0,0
570,0,0.1,0
565,0,0.3,0
565,0.1,0.2,0
565,1.3,0.2,0.5
570,6,1.4,1.3
570,4.7,2.8,0.7
570,1.1,1.1,0.1
565,2.3,1.5,1.8
565,0.6,1.2,0.9
565,0.2,1,0.3
565,0.5,0.7,0.6
565,0.3,0.7,1.2
580,0.1,0.4,0.6
570,0.1,0.4,0.3
575,0.1,0.3,0.2
570,0,0.1,0.2
570,0,0,0.4
570,0.3,0.5,0.7
580,0.5,0.4,0.7
600,0.4,0.3,0.5
600,0.3,0,0.5
600,0.2,0,0.4
600,0.1,0,0.2
600,0,0.1,0.2
605,0,0.1,0.1
605,0,0.1,0.1
605,0.1,0.1,0.2
605,0.1,0.2,0.2
600,0.2,0.6,0.1
595,4.3,2.7,4.4
590,1.2,1.8,1.5
585,0.6,0.5,0.6
585,1.2,0.5,0.4
620,0.3,0.6,0.3
620,1,0.1,0.7
610,0.6,0,0.7
600,0.9,0,1.2
600,1.1,0,1.8
595,0.7,0,0.6
590,0.4,0,0.7
585,0.3,0,0.5
585,0.3,0.1,0.7
580,0.2,0.1,0.5
580,0.1,0.1,0.3
580,0,0,0.1
580,0,0.1,0.1
580,0,0,0.2
585,0,0,0.4
585,0,0,0.5
585,0,0,0.5
590,0.3,0.1,0.4
595,0.1,0.1,0.3
595,0.6,0,0.4
590,0.5,0.3,0.2
590,0.4,0.5,0.1
590,1.5,0.7,0.7
585,0.8,1.8,0.2
590,1,1,1.2
630,0.3,0.5,0.4
635,0.2,0.3,0.4
625,0.2,0.3,0.6
625,0.2,0.1,0.5
630,0,0.4,0.4
630,0.1,0.2,0.4
635,0.1,0.2,0.7
650,0.4,0.3,0.6
660,0.6,0.4,0.5
675,0.7,0.4,0.9
675,0.5,0.8,1
680,0.3,0.5,0.5
680,0.3,0.3,0.4
665,0.3,0.5,0.3
655,0.3,0.7,0.3
655,0.2,0.3,0.3
635,0.3,0.5,0.3
630,0.2,0.3,0.2
620,0.1,0.2,0.3
610,0.3,0.4,0.2
610,0.2,0.6,0.1
610,0.2,0.4,0.2
600,0,0.2,0.1
600,0,0.1,0.1
600,0,0,0
600,0,0,0.2
595,0,0,0.1
595,0,0,0.2
600,0,0,0.4
605,0.1,0,0.8
605,0.4,0.2,0.8
590,0.7,0.1,0.7
590,0.2,0,0.2
590,0,0,0.1
590,0,0,0.1
590,0,0.1,0
590,0,0.2,0
590,0,0.6,0.1
590,0.2,0.3,0.2
595,0.2,0.2,0.2
600,0.3,0.2,0.3
610,0.2,0.1,0.1
620,0.3,0.7,0.6
620,3,2.9,1.7
